DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO POBLADO,LATITUD,LONGITUD,NMI1,NMI2
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALCAPARROSA,-6.982368,-77.932555,1,4
AMAZONAS,UTCUBAMBA,CAJARURO,NARANJITOS,-5.814901,-78.277449,177,577
AMAZONAS,UTCUBAMBA,CUMBA,AGUA AZUL,-5.969275,-78.619398,1,1
AMAZONAS,BONGARA,JAZAN,PEDRO RUIZ,-5.94069,-77.97635,2,7
AMAZONAS,BONGARA,JAZAN,SAN JERONIMO,-5.95036,-77.97886,3,6
ANCASH,CASMA,YAUTAN,MUÑA,-9.515087,-78.058253,29,111
ANCASH,CASMA,YAUTAN,MUÑA,-9.515087,-78.058253,29,111
ANCASH,HUARAZ,COCHABAMBA,ALLPAQUITA,-9.463057,-77.827767,5,14
ANCASH,HUARAZ,COCHABAMBA,CARHUAC,-9.458563,-77.828353,4,9
ANCASH,HUARAZ,COCHABAMBA,NULLHUE,-9.459722,-77.825937,12,36
ANCASH,HUARAZ,COCHABAMBA,PACHE,-9.464762,-77.825515,10,28
ANCASH,HUARAZ,COCHABAMBA,PALLAC,-9.463138,-77.819933,6,14
ANCASH,HUARAZ,COCHABAMBA,TAYACOTO,-9.459892,-77.822395,4,13
ANCASH,HUARAZ,COCHABAMBA,USHNO,-9.464708,-77.828365,1,4
ANCASH,HUARAZ,COCHABAMBA,YAMTAC,-9.468373,-77.830397,2,11
ANCASH,HUARAZ,HUARAZ,BELLA VISTA,-9.543621,-77.519159,4,16
ANCASH,HUARAZ,HUARAZ,CHICORURI,-9.536538,-77.535464,7,20
ANCASH,HUARAZ,HUARAZ,HUACAPAMPA,-9.54062,-77.53554,7,42
ANCASH,HUARAZ,HUARAZ,QUERAR,-9.552607,-77.515956,1,4
ANCASH,HUARAZ,HUARAZ,SHAURAMA,-9.545517,-77.527528,1,1
ANCASH,HUARAZ,INDEPENDENCIA,CARIANPAMPA,-9.447413,-77.542585,41,150
ANCASH,HUARAZ,INDEPENDENCIA,CHURAP,-9.451822,-77.530777,56,199
ANCASH,HUARAZ,INDEPENDENCIA,ORCON,-9.445876,-77.537599,8,20
ANCASH,HUARAZ,INDEPENDENCIA,SANTA ROSA,-9.456838,-77.538868,70,268